Column1,Column2,Column3,Column4,Column5,Column6
radp.224,143761,7314.019,16761.95458,0.208,t
radp.225,143761,7297.861,16761.96183,0.382,t
radr.196,132142,-4348.899,16765.90417,0.377,t
radr.197,132142,-4373.381,16765.91974,0.751,t
radr.198,132142,-4394.193,16765.93317,1.075,t
radr.199,132142,-4416.474,16765.94788,1.429,t
radr.200,132142,-4441.776,16765.96517,1.845,t
radr.201,132142,-4472.072,16765.98708,2.372,t
rads.229,86728,-25848.763,16766.6765,-0.127,t
rads.230,86728,-25855.750,16766.67973,-0.050,t
rads.231,86728,-25864.016,16766.68354,0.042,t
rads.232,86728,-25873.007,16766.6877,0.142,t
rads.233,86728,-25881.440,16766.6916,0.236,t
rads.249,109358,-14643.218,16766.82212,0.802,t
rads.250,109358,-14649.405,16766.82521,0.876,t
rads.251,109358,-14654.854,16766.82794,0.942,t
rads.252,109358,-14659.664,16766.83036,1.000,t
rads.253,109358,-14664.479,16766.83279,1.059,t
radv.193,100180,-22654.949,16777.73849,0.540,t
radv.194,100180,-22685.824,16777.75068,0.833,t
radv.195,100180,-22715.445,16777.76254,1.119,t
radv.196,100180,-22749.831,16777.77661,1.457,t
radv.197,100180,-22789.772,16777.79353,1.865,t
radv.214,189733,22226.138,16777.89696,-4.046,t
radv.239,185144,745.578,16778.00506,-0.948,t
radw.197,117176,-12461.030,16780.80872,0.452,t
radw.198,117176,-12469.175,16780.81177,0.525,t
radw.199,117176,-12479.392,16780.81561,0.618,t
radw.200,117176,-12490.342,16780.81975,0.717,t
radw.201,117176,-12499.051,16780.82305,0.797,t
radw.207,185144,1055.350,16780.85011,-4.480,t
radw.212,189733,22178.072,16780.88508,-4.140,t
rady.194,110897,-18426.589,16784.77963,0.792,t
rady.195,110897,-18441.974,16784.7874,0.979,t
rady.196,110897,-18455.720,16784.79441,1.148,t
rady.197,110897,-18469.569,16784.80156,1.320,t
rady.198,110897,-18484.274,16784.80927,1.506,t
rady.217,189733,21990.183,16784.8978,-3.578,t
radz.189,182989,13085.168,16788.81227,-4.786,t
radz.190,182989,13078.143,16788.82325,-4.522,t
radz.191,182989,13070.045,16788.83406,-4.262,t
radz.192,182989,13060.719,16788.84497,-4.000,t
radz.193,182989,13050.221,16788.85595,-3.736,t
radz.194,182989,13038.811,16788.86677,-3.475,t
radz.195,182989,13026.015,16788.87791,-3.207,t
radz.196,182989,13012.606,16788.88876,-2.946,t
radz.197,182989,12998.201,16788.89969,-2.683,t
radz.198,182989,12983.011,16788.91058,-2.421,t
radz.199,182989,12967.339,16788.92128,-2.163,t
raea.195,115617,-12605.688,16789.78593,0.653,t
raea.196,115617,-12617.508,16789.79044,0.762,t
raea.197,115617,-12630.175,16789.7953,0.879,t
raea.198,115617,-12642.261,16789.79997,0.991,t
raea.199,115617,-12653.912,16789.80449,1.100,t
raeb.242,185144,1871.148,16792.97048,-0.796,t
raed.226,185144,2145.314,16796.97239,-0.488,t
raee.209,185144,2441.007,16800.93262,-1.183,t
raef.215,185144,2481.710,16801.96618,-0.310,t
raeg.183,84737,-23566.323,16804.68543,2.889,t
raeg.184,84737,-23569.490,16804.68857,2.964,t
raeg.185,84737,-23572.270,16804.6914,3.032,t
raeg.186,84737,-23575.191,16804.69443,3.105,t
raeg.187,84737,-23578.388,16804.69783,3.187,t
raeg.218,156668,3061.351,16804.86765,-0.343,t
raeg.219,156668,3033.353,16804.87963,-0.055,t
raeg.220,156668,3004.080,16804.89214,0.246,t
